BrefID,Special Collections
223470,"EUROBIS ackn - indirect use, ""European Oceanographic Biogeographic Information System (EurOBIS) acknowledged"", ""LifeWatch Species Information Backbone"", ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
224272,"EUROBIS ackn - indirect use, ""European Oceanographic Biogeographic Information System (EurOBIS) acknowledged"", ""LifeWatch Species Information Backbone"", ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
224307,"Lifewatch acknowledged, ""LifeWatch Observatory"""
224490,"Bio-ORACLE, ""Lifewatch acknowledged"""
224943,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
225311,"Bio-ORACLE, ""Lifewatch acknowledged"""
226185,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
226208,"LifeWatch Species Information Backbone, ""Marine Regions acknowledged"""
226210,"LifeWatch Species Information Backbone, ""Marine Regions acknowledged"", ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
226217,"LifeWatch Species Information Backbone, ""Marine Regions acknowledged"""
226237,"LifeWatch Species Information Backbone, ""Marine Regions acknowledged"""
226241,"LifeWatch Species Information Backbone, ""Marine Regions acknowledged"""
226245,"LifeWatch Species Information Backbone, ""Marine Regions acknowledged"""
226259,"EUROBIS ackn - indirect use, ""European Oceanographic Biogeographic Information System (EurOBIS) acknowledged"", ""LifeWatch Species Information Backbone"", ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
226261,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
226305,"LifeWatch Species Information Backbone, ""Marine Regions acknowledged"""
226317,"LifeWatch Species Information Backbone, ""Marine Regions acknowledged"""
226321,"LifeWatch Species Information Backbone, ""Marine Regions acknowledged"""
226492,"LifeWatch Species Information Backbone, ""Marine Regions acknowledged"""
226522,"LifeWatch Species Information Backbone, ""Marine Regions acknowledged"""
226874,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
227108,"LifeWatch Species Information Backbone, ""Marine Regions acknowledged"""
227137,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
227275,"Bio-ORACLE, ""Lifewatch acknowledged"""
227406,"LifeWatch Species Information Backbone, ""Marine Regions acknowledged"", ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
227982,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
228258,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
228661,"EUROBIS ackn - indirect use, ""European Oceanographic Biogeographic Information System (EurOBIS) acknowledged"", ""LifeWatch Species Information Backbone"", ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
228662,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
228663,"LifeWatch Species Information Backbone, ""Marine Regions acknowledged"", ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
228665,"LifeWatch Species Information Backbone, ""Marine Regions acknowledged"""
228667,"LifeWatch Species Information Backbone, ""Marine Regions acknowledged"""
228753,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
228819,"LifeWatch Species Information Backbone, ""Marine Regions acknowledged"""
229012,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
229022,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
229060,"LifeWatch Species Information Backbone, ""Marine Regions acknowledged"""
229063,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
229064,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
229237,"Bio-ORACLE, ""Lifewatch acknowledged"""
229318,"European Oceanographic Biogeographic Information System (EurOBIS) acknowledged, ""Interim Register of Marine and Nonmarine Genera (IRMNG) acknowledged"", ""LifeWatch Species Information Backbone"", ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
229319,"EUROBIS ackn - indirect use, ""European Oceanographic Biogeographic Information System (EurOBIS) acknowledged"", ""Lifewatch acknowledged"", ""LifeWatch Species Information Backbone"", ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
229321,"LifeWatch Species Information Backbone, ""Marine Regions acknowledged"""
229437,"LifeWatch Species Information Backbone, ""Marine Regions acknowledged"""
229976,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
230395,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
230425,"Bio-ORACLE, ""Lifewatch acknowledged"""
230436,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
230502,"LifeWatch Species Information Backbone, ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
230520,"Lifewatch acknowledged, ""LifeWatch Species Information Backbone"", ""World Register of Marine Species (WoRMS) acknowledged"", ""WoRMS ackn - direct reference"""
230569,"Lifewatch acknowledged, ""LifeWatch Observatory"""
