event_name,year,venue,date,participant_number,#participants SCIENCE,#participants INDUSTRY,#participants CIVIL SOCIETY,#participants POLICY,Participantlist,event_role
LW-TaxBB-WoRMS editor workshop: Nemys,2018,Gent,5-7 september 2018,11,NA,NA,NA,NA,NA,NA
LifeWatch Data Storage Tag workshop,2018,Oostende,3-5 oktober 2018,21,NA,NA,NA,NA,NA,NA
OTGA/VLIZ Training Course: Research Cruise Planning & Management,2018,Oostende,15-19 oktober 2018,23,NA,NA,NA,NA,NA,NA
OTGA/VLIZ Online Training Course: Contributing datasets to EMODnet Biology,2018,Oostende,15-19 oktober 2018,9,NA,NA,NA,NA,NA,NA
OTGA/VLIZ Training Course: Marine GIS Applications for Integrated Coastal Zone Management,2018,Oostende,26-30 november 2018,24,NA,NA,NA,NA,NA,NA
OTGA/VLIZ Training Course: Ocean Data Management for Researchers,2018,Oostende,3-7 december 2018,29,NA,NA,NA,NA,NA,NA
Course on marine environmental data at 8th Young Environmental Scientists Meeting (YES-SETAC),2019,Gent,8 februari 2019,25,NA,NA,NA,NA,NA,Organized
COST-ETN hands-on data workshop,2019,Oostende,21 maart 2019,16,NA,NA,NA,NA,NA,Organized
Marine Biodiversity & Ecosystem Functioning Working Session @ LifeWatch ERIC Scientific Community Meeting,2019,Rome,28 mei 2019,40,NA,NA,NA,NA,NA,Co-organized
ASSEMBLE Plus workshop: FAIR Data Management for datasets from marine stations,2019,Oostende,13-14 juni 2019,18,NA,NA,NA,NA,NA,Organized
European Tracking Network Workshop at ICFT 2019 Conference,2019,Arendal (Noorwegen),25 juni 2019,72,NA,NA,NA,NA,NA,Co-organized
OTGA Training Course: Research Data Management,2019,Oostende,21-25 oktober 2019,22,NA,NA,NA,NA,NA,Lecturer
LifeWatch-WoRMS Compositae Editor Workshop,2019,Oostende,28-31 oktober 2019,8,NA,NA,NA,NA,NA,Organized
LifeWatch.be Users & Stakeholders Meeting,2019,Brussel,19-20 november 2019,74,NA,NA,NA,NA,NA,Organized
LifeWatch-WoRMS RAS Traits Workshop,2019,Oostende,25-28 november 2019,12,NA,NA,NA,NA,NA,Organized
LifeWatch Maritime Industry Workshop,2020,Oostende,23 januari 2020,22,NA,NA,NA,NA,NA,Organized
LifeWatch-WoRMS MolluscaBase Editor Workshop,2020,Oostende,3-7 februari 2020,14,NA,NA,NA,NA,NA,Organized
LifeWatch-WoRMS Thecostraca Editor Workshop,2020,Oostende,24-28 februari 2020,7,NA,NA,NA,NA,NA,Organized
Advancing data stewardship: insights from environmental and life science research infrastructures,2020,Oostende,28 februari 2020,33,NA,NA,NA,NA,NA,Organized
LifeWatch Jerico-Next Flow Cytometry Data Analysis Workshop 2020,2020,Oostende,5-6 maart 2020,13,NA,NA,NA,NA,NA,Organized
LifeWatch meeting: ENVRI-FAIR and IJI ARMS workflow,2020,Remote,16-17 maart 2020,16,NA,NA,NA,NA,NA,Attended
"EMODnet Biology - Online training course on data formatting,  QC and publishing",2020,Remote,8-19 juni 2020,58,NA,NA,NA,NA,NA,Organized
LifeWatch Maritime Industry Advisory Board Meeting,2020,Remote,9/25/2020,21,NA,NA,NA,NA,NA,Organized
LifeWatch.be Users & Stakeholders Meeting,2020,Remote,15-16 oktober 2020,100,NA,NA,NA,NA,NA,Organized
COST-ETN Data Management Workshop,2020,Remote,11/17/2020,95,NA,NA,NA,NA,NA,Organized
LifeWatch-DISSCo-ELIXIR Research data management workshop: Hands-on introductions to research data management and publication - CANCELLED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LifeWatch-WoRMS Porifera Editor Workshop - CANCELLED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASSEMBLE Plus 2021: Marine biological research at the frontier,2021,Online,January 18-29 2021,30,NA,NA,0,0,yes,Presentation
Kick-off Meeting New Phase LifeWatch Flanders,2021,Online,February 5 2021,35,35,0,0,0,yes,Organization
VLIZ Marine Science Day 2021,2021,Online,March 3 2021,513,452,25,14,22,NA,Presentation
Open Belgium 2021 - LDES Session,2021,Online,March 9-31 2021,60,22,16,5,17,yes,Presentation
Grote Schelpenteldag 2021,2021,Belgian Beaches,March 13-14 2021,1100,0,0,1100,0,yes,Organization
WoRMS Steering Committee Meeting,2021,Online,April 20 2021,15,15,0,0,0,yes,Organization
SUMES training workshop,2021,Online,April 27 2021,15,15,0,0,0,yes,Organization
NON-stop webinar “Intelligent digital water quality monitoring in ports”,2021,Online,May 6 2021,37,6,28,0,3,yes,Presentation
LifeWatch ERIC e-Science for NIS research workshop,2021,Online,May 20-21 2021,180,180,0,0,0,yes,Presentation
VSC Tier-1 Cloud Launch Event => gecheckt met Klaas voor aantal deelnemers,2021,Online,May 20 2021,NA,NA,NA,NA,NA,NA,Presentation
CPOD mini-symposium (technical internal workshop),2021,Online,May 28 2021,19,NA,NA,NA,NA,yes,Presentation
