,DataSystem,Affiliation,Country,stand_affil,similarity_method,stand_country,stand_flemish,stand_GROUP,stand_QH
135,Marine_species,Roger Williams University Department of Biology and Marine Biology,US,Roger Williams University - Department of Biology and Marine Biology,x,USA,,University,Science
136,Marine_species,Marine Ecological Solutions Ltd,UK,['Marine Ecological Solutions Ltd'],,,,,
137,Marine_species,Atlantic Reference Centre,Canada,['Huntsman Marine Science Centre - Atlantic Reference Centre (ARC)'],,,,,
138,Marine_species,Arizona State University,,['Arizona State University'],,,,,
139,Marine_species,Marine and Freshwater Institute Iceland,Iceland,['Marine and Freshwater Institute Iceland (MFRI)'],,,,,
140,Marine_species,3T Software Labs GmbH,Germany,['3T Software Labs GmbH'],,,,,
141,Marine_species,Centre of Marine Sciences,Portugal,University of the Aegean - Department of Marine Sciences,x,Greece,,University,Science
142,Marine_species,CRACS - INESC TEC,Portugal,['FCT (Portuguese National Science Foundation) - INESCTEC Research Laboratory - Center for Research in Advanced Computing Systems (CRACS)'],,,,,
143,Marine_species,Japan Agency for Marine-Earth Science and Technology,Japan,['JAMSTEC (Japan Agency for Marine-Earth Science and Technology)'],,,,,
144,Marine_species,International Council for the Exploration of the Sea (ICES),Denmark,['ICES International Council for the Exploration of the Sea'],,,,,
145,Marine_species,Biologica Environmental Services Ltd. Victoria,Canada,Biologica Environmental Services Ltd.,x,Canada,,Company,Industry
146,Marine_species,South African Institute for Aquatic Biodiversity Grahamstown,South Africa,South African Institute for Aquatic Biodiversity (SAIAB),x,South Africa,,Research institute,Science
147,Marine_species,National Oceanic and Atmospheric Administration,USA,['NOAA National Oceanic And Atmospheric Administration'],,,,,
148,Marine_species,Museum of Comparative Zoology,United States,['Harvard University - Harvard Museum of Comparative Zoology'],,,,,
149,Marine_species,BGI-Qingdao,China,['BGI-Qingdao'],,,,,
150,Marine_species,North Carolina Museum of Natural Sciences,United States,North Carolina Museum of Natural Sciences,x,USA,,Museum,Science
151,Marine_species,Centre of Marine Sciences,Portugal,University of the Aegean - Department of Marine Sciences,x,Greece,,University,Science
152,Marine_species, Ocean Ecology Limited,United Kingdom,['Ocean Ecology Limited'],,,,,
153,Marine_species,University of Tartu Natural History Museum,Estonia,University of Oslo - Natural History Museum,x,Norway,,Museum,Science
154,Marine_species,Industrial Ecology Programme Department of Energy and Process Engineering Norwegian University of Science and Technology (NTNU),Norway,Norwegian University of Science and Technology (NTNU) - Faculty of Engineering - Department of Energy and Process Engineering - Industrial Ecology Programme,x,Norway,,Research institute,Science
155,Marine_species,International Council for the Exploration of the Sea,Denmark,ICES International Council for the Exploration of the Sea,x,,,,
156,Marine_species,ddms Inc.,United States,DDMS Inc.,x,USA,,Company,Industry
157,Marine_species,Hopkins Marine Station,USA,['Stanford University - Hopkins Marine Station'],,,,,
158,Marine_species,Fisheries Research Station junagadh agricultural university sikka ,India,['Junagadh agricultural university - Fisheries Research Station Sikka'],,,,,
159,Marine_species,Project Manager - DDTS EU Exit Programme| Department for Environment Food and Rural Affairs,United Kingdom,"UK government - Department for Environment, Food and Rural Affairs - Digital, Data & Technology Services (DDTS) EU Exit Programme",x,UK,,Governmental body,Policy
160,Marine_species,Office de l'Environnement de la Corse,France,"[""Office de l'Environnement de la Corse""]",,,,,
161,Marine_species,ILVO,Belgium,"['ILVO Flanders Research Institute for Agriculture, Fisheries and Food']",,,,,
162,Marine_species,Massey University Auckland,New Zealand,['Massey University'],,,,,
163,Marine_species,The University of Chicago,United States,University of Chicago,x,USA,,University,Science
164,Marine_species,University of California Santa Barbara,USA,University of California Santa Barbara,x,USA,,University,Science
165,Marine_species,Yale university,,Yale University,x,USA,,University,Science
166,Marine_species,University of Tartu,Estonia,['University of Tartu'],,,,,
167,Marine_species,James Cook University,,['James Cook University'],,,,,
168,Marine_species,University of Oslo,Norway,['University of Oslo'],,,,,
169,Marine_species,Swedish Museum of Natural History Department of Palaeobiology,Sweden,Swedish Museum of Natural History - Department of Palaeobiology,x,Sweden,,Museum,Science
170,Marine_species,Duke University William Peace University,United States,Duke University,x,USA,,University,Science
171,Marine_species,Cyprus University of Technology,Cyprus,['Cyprus University of Technology'],,,,,
172,Marine_species,Aquazoo Löbbecke Museum Düsseldorf,Germany,Aquazoo Löbbecke Museum,x,Germany,,Museum,Science
173,Marine_species,Florida International University,,['Florida International University'],,,,,
174,Marine_species,iNaturalist California Academy of Scienes and National Geogrraphic Society,United States,California Academy of Sciences,x,USA,,University,Science
175,Marine_species,Reef Life Apps LLC,Czech Republic,"Reef Life Apps, LLC",x,Czech Republic,,Other,Civil society
176,Marine_species,Stichting observation international,Netherlands,['observation international'],,,,,
177,Marine_species,Arctos,United States,['Arctos'],,,,,
178,Marine_species,Natural History Museum of Los Angeles County,USA,['NHM Natural History Museum of Los Angeles County'],,,,,
179,Marine_species,Leigh Marine Laboratory,New Zealand,['University of Auckland - Leigh Marine Laboratory'],,,,,
180,Marine_species,Ensenada Center for Scientific Research and Higher Education CICESE,Mexico,Center for Scientific Research and Higher Education at Ensenada (CICESE),x,Mexico,,Research institute,Science
181,Marine_species,National Marine Fisheries Research Institute,Poland,ICAR (International Committee for Animal Recording) - Central Marine Fisheries Research Institute,x,India,,Research institute,Science
182,Marine_species,Virginia Institute of Marine Science,United States,GEOMAR Helmholtz Centre for Ocean Research Kiel,x,Germany,,Research institute,Science
183,Marine_species,Harbor Branch Oceanographic Institution,USA,['Florida Atlantic University - Harbor Branch Oceanographic Institute'],,,,,
184,Marine_species,California Academy of Sciences,United States,['California Academy of Sciences'],,,,,
185,Marine_species,The Department of Agriculture Environment and Rural Affairs,UK,"Northern Ireland Executive - Department of Agriculture, Environment and Rural Affairs (DAERA)",x,UK,,Governmental body,Policy
186,Marine_species,Northeastern University,USA,Northwest University of China,x,China,,University,Science
187,Marine_species,Revive & Restore,United States,['Revive & Restore'],,,,,
188,Marine_species,Virginia Institute of Marine Science,United States,GEOMAR Helmholtz Centre for Ocean Research Kiel,x,Germany,,Research institute,Science
189,Marine_species,Alive Fundació,Spain,['Alive Fund'],,,,,
190,Marine_species,Stony Brook University,United States,['Stony Brook University'],,,,,
191,Marine_species,Stony Brook University,USA,['Stony Brook University'],,,,,
192,Marine_species,Monterey Bay Aquarium Research Institute (MBARI),United States,Monterey Bay Aquarium Research Institute (MBARI),x,USA,,Research institute,Science
193,Marine_species,NUI Galway,Ireland,['National University of Ireland Galway'],,,,,
194,Marine_species,University of Hawaii at Hilo,United States,University of Hawaii,x,,,,
195,Marine_species,Insitech Partners LLC,United States,['Insitech Partners LLC'],,,,,
196,Marine_species,University of Louisiana at Lafayette,United States,['University of Louisiana at Lafayette'],,,,,
197,Marine_species,University Hamburg; Zentrum für Bioinformatik,Germany,['University of Hamburg - Center for Bioinformatics'],,,,,
198,Marine_species,Dalhousie University,Canada,['Dalhousie University'],,,,,
199,Marine_species,Sorbonne Université/CNRS Laboratoire d'Océanographie de Villefranche,France,UPMC - Laboratoire d'Océanographie de Villefranche (LOV),x,France,,Research institute,Science
200,Marine_species,Thomson Environmental Consultants,United Kingdom,['Thomson Environmental Consultants'],,,,,
201,Marine_species,Monterey Bay Aquarium,USA,['Monterey Bay Aquarium'],,,,,
202,Marine_species,MPEDA ,India,['India government - Marine Products Export Development Authority\xa0(MPEDA)'],,,,,
203,Marine_species,Museums Victoria,Australia,['Museums Victoria'],,,,,
204,Marine_species,Oceana Europe,Belgium,['Oceana Europe'],,,,,
205,Marine_species,University of New Hampshire,United States,['University of New Hampshire'],,,,,
206,Marine_species,Fugro GB Marine Ltd,United Kingdom,['Fugro'],,,,,
207,Marine_species,University of New Hampshire,USA,['University of New Hampshire'],,,,,
208,Marine_species,University of New Hampshire,USA,['University of New Hampshire'],,,,,
